company,other,management,culture,pay,growth,environment,balance
3E ACCOUNTING,50.000000000000014,96.96969696969695,87.87878787878786,0.0,51.42857142857142,43.47826086956524,85.29411764705883
AMAZON WEB SERVICES SINGAPORE,13.33333333333333,69.6969696969697,0.0,68.57142857142858,25.71428571428572,47.82608695652172,76.47058823529413
ASUS GLOBAL PTE. LTD.,26.66666666666666,60.60606060606061,21.21212121212121,62.85714285714287,37.14285714285714,21.73913043478261,64.70588235294117
BYTEDANCE,13.33333333333333,69.6969696969697,48.48484848484848,60.0,31.428571428571423,43.47826086956524,67.64705882352942
CAROUSELL,83.33333333333334,48.48484848484849,72.7272727272727,22.857142857142858,57.14285714285714,52.17391304347825,82.35294117647058
CIRCLES.LIFE,70.0,0.0,9.09090909090909,25.71428571428572,88.57142857142857,82.60869565217394,100.0
CISCO SYSTEMS,10.0,87.87878787878786,33.33333333333333,60.0,31.428571428571423,82.60869565217394,70.58823529411765
CRIMSONLOGIC,30.0,66.66666666666667,33.33333333333333,42.85714285714286,60.0,47.82608695652172,50.0
DATHENA,30.0,60.60606060606061,36.363636363636346,34.28571428571428,28.57142857142858,4.3478260869565,5.88235294117646
DEFENCE SCIENCE AND TECHNOLOGY AGENCY,36.66666666666667,81.81818181818184,48.48484848484848,100.0,48.57142857142856,47.82608695652172,85.29411764705883
DSO NATIONAL LABORATORIES,40.0,54.54545454545454,30.303030303030297,62.85714285714287,51.42857142857142,52.17391304347825,97.05882352941177
DYSON,53.333333333333336,54.54545454545454,39.393939393939384,68.57142857142858,42.85714285714286,39.13043478260872,58.82352941176472
ERICSSON,0.0,93.93939393939392,21.21212121212121,51.42857142857144,37.14285714285714,78.26086956521742,76.47058823529413
EXPERIS SINGAPORE,50.000000000000014,51.51515151515152,6.06060606060606,57.14285714285714,31.428571428571423,4.3478260869565,32.35294117647059
EY,3.33333333333333,75.75757575757576,27.27272727272727,42.85714285714286,74.28571428571428,43.47826086956524,94.11764705882354
FACEBOOK,23.333333333333332,84.84848484848484,33.33333333333333,82.85714285714288,25.71428571428572,65.21739130434783,58.82352941176472
GIC,43.33333333333333,69.6969696969697,78.78787878787877,74.28571428571429,54.285714285714285,43.47826086956524,35.29411764705882
GO-JEK,26.66666666666666,75.75757575757576,54.545454545454554,42.85714285714286,65.71428571428571,73.91304347826089,73.52941176470588
GOLDMAN SACHS,0.0,100.0,36.363636363636346,51.42857142857144,42.85714285714286,65.21739130434783,79.41176470588235
GOVTECH,40.0,51.51515151515152,48.48484848484848,51.42857142857144,48.57142857142856,65.21739130434783,50.0
GRAB TAXI,30.0,36.36363636363636,42.42424242424242,40.00000000000001,42.85714285714286,43.47826086956524,61.764705882352935
HAYS,26.66666666666666,78.78787878787881,51.515151515151516,74.28571428571429,97.14285714285714,39.13043478260872,67.64705882352942
HP,10.0,78.78787878787881,33.33333333333333,60.0,45.714285714285715,86.95652173913047,73.52941176470588
IBM,13.33333333333333,78.78787878787881,24.24242424242424,54.28571428571429,60.0,69.56521739130436,82.35294117647058
ILLUMINA,63.33333333333334,54.54545454545454,69.69696969696967,68.57142857142858,54.285714285714285,73.91304347826089,61.764705882352935
INFINEON TECHNOLOGIES,20.0,63.63636363636363,33.33333333333333,57.14285714285714,48.57142857142856,73.91304347826089,79.41176470588235
INLAND REVENUE AUTHORITY OF SINGAPORE,16.66666666666666,54.54545454545454,54.545454545454554,40.00000000000001,40.0,43.47826086956524,85.29411764705883
INTEGRATED HEALTH INFORMATION SYSTEMS PTE. LTD.,26.66666666666666,69.6969696969697,21.21212121212121,94.28571428571428,31.428571428571423,30.43478260869566,55.88235294117647
KPMG,3.33333333333333,75.75757575757576,27.27272727272727,54.28571428571429,57.14285714285714,39.13043478260872,88.23529411764707
LAZADA,50.000000000000014,75.75757575757576,60.60606060606061,40.00000000000001,62.857142857142854,34.782608695652186,52.94117647058824
MICRON,16.66666666666666,78.78787878787881,39.393939393939384,80.00000000000001,48.57142857142856,43.47826086956524,82.35294117647058
NANYANG TECHNOLOGICAL UNIVERSITY,6.66666666666666,81.81818181818184,3.03030303030303,54.28571428571429,14.28571428571429,52.17391304347825,70.58823529411765
NATIONAL UNIVERSITY OF SINGAPORE,10.0,87.87878787878786,9.09090909090909,60.0,25.71428571428572,52.17391304347825,79.41176470588235
NTT,43.33333333333333,54.54545454545454,24.24242424242424,51.42857142857144,34.28571428571428,39.13043478260872,38.235294117647065
NTUC INCOME INSURANCE CO-OPERATIVE,16.66666666666666,81.81818181818184,48.48484848484848,68.57142857142858,42.85714285714286,52.17391304347825,73.52941176470588
OCBC BANK,36.66666666666667,87.87878787878786,60.60606060606061,68.57142857142858,40.0,47.82608695652172,97.05882352941177
PEOPLE PROFILERS,53.333333333333336,78.78787878787881,54.545454545454554,40.00000000000001,37.14285714285714,17.391304347826082,73.52941176470588
PROPERTYGURU.COM,70.0,90.90909090909092,72.7272727272727,42.85714285714286,71.42857142857142,69.56521739130436,85.29411764705883
PRUDENTIAL SINGAPORE,26.66666666666666,78.78787878787881,24.24242424242424,71.42857142857143,17.14285714285714,17.391304347826082,82.35294117647058
SCIENTE INTERNATIONAL PTE LTD,43.33333333333333,93.93939393939392,39.393939393939384,40.00000000000001,100.0,0.0,97.05882352941177
SEA LIMITED,20.0,81.81818181818184,36.363636363636346,71.42857142857143,31.428571428571423,30.43478260869566,52.94117647058824
SEMBCORP INDUSTRIES LTD,13.33333333333333,69.6969696969697,36.363636363636346,71.42857142857143,37.14285714285714,21.73913043478261,70.58823529411765
SEPHORA,20.0,72.72727272727273,12.12121212121213,62.85714285714287,34.28571428571428,39.13043478260872,94.11764705882354
SHOPEE,16.66666666666666,69.6969696969697,51.515151515151516,48.57142857142857,42.85714285714286,52.17391304347825,85.29411764705883
SINGAPORE MANAGEMENT UNIVERSITY,26.66666666666666,75.75757575757576,27.27272727272727,71.42857142857143,17.14285714285714,56.52173913043478,67.64705882352942
SINGAPORE POOLS,3.33333333333333,78.78787878787881,48.48484848484848,51.42857142857144,31.428571428571423,4.3478260869565,79.41176470588235
SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN (SUTD),46.666666666666664,60.60606060606061,6.06060606060606,31.428571428571427,0.0,21.73913043478261,38.235294117647065
SINGTEL,46.666666666666664,87.87878787878786,54.545454545454554,60.0,77.14285714285714,47.82608695652172,76.47058823529413
STANDARD CHARTERED BANK,10.0,81.81818181818184,45.454545454545446,68.57142857142858,25.71428571428572,39.13043478260872,61.764705882352935
TEMASEK POLYTECHNIC,46.666666666666664,57.57575757575757,45.454545454545446,45.714285714285715,25.71428571428572,39.13043478260872,97.05882352941177
THALES GROUP,23.333333333333332,66.66666666666667,24.24242424242424,71.42857142857143,31.428571428571423,52.17391304347825,55.88235294117647
THE CHOPE GROUP,46.666666666666664,33.33333333333334,54.545454545454554,25.71428571428572,31.428571428571423,30.43478260869566,0.0
TIKTOK,33.33333333333333,81.81818181818184,60.60606060606061,51.42857142857144,51.42857142857142,56.52173913043478,58.82352941176472
TUV SUD ASIA PACIFIC PTE. LTD.,40.0,45.45454545454546,27.27272727272727,42.85714285714286,54.285714285714285,39.13043478260872,58.82352941176472
TWITTER INC,63.33333333333334,60.60606060606061,72.7272727272727,71.42857142857143,40.0,82.60869565217394,55.88235294117647
UNITED OVERSEAS BANK,10.0,69.6969696969697,27.27272727272727,68.57142857142858,42.85714285714286,17.391304347826082,70.58823529411765
URBAN REDEVELOPMENT AUTHORITY,20.0,72.72727272727273,78.78787878787877,25.71428571428572,57.14285714285714,100.0,91.1764705882353
ZALORA SEA,36.66666666666667,45.45454545454546,66.66666666666664,37.14285714285714,71.42857142857142,65.21739130434783,58.82352941176472
ZOOM VIDEO COMMUNICATIONS,100.0,69.6969696969697,100.0,62.85714285714287,68.57142857142856,73.91304347826089,64.70588235294117
